,Date,Price,Open,High,Low,Volume,%Chg
2345,17-Feb-2005,2061.9,2069.1,2069.15,2045.85,63.85,-0.33
2346,13-Sep-2005,2500.35,2484.0,2503.0,2477.1,54.88,0.65
2347,26-Apr-2005,1957.1,1971.05,1972.85,1951.8,51.3,-0.7
2348,29-Jul-2005,2312.3,2318.05,2332.55,2280.85,111.82,-0.29
2349,22-Apr-2005,1967.35,1950.6,1972.95,1950.0,55.29,0.96
2350,05-Dec-2005,2660.5,2697.6,2710.65,2654.35,62.68,-1.39
2351,06-Jul-2005,2228.2,2211.35,2232.65,2211.3,51.43,0.79
2352,11-Jan-2005,1952.05,1982.7,1988.9,1947.35,70.27,-1.51
2353,29-Aug-2005,2337.65,2359.2,2365.85,2312.6,41.87,-0.82
2354,11-Jul-2005,2218.85,2195.55,2224.65,2195.55,54.41,1.03
2355,31-May-2005,2087.55,2072.5,2091.75,2066.55,45.87,0.73
2356,21-Sep-2005,2567.3,2576.7,2585.6,2504.9,108.7,-0.42
2357,21-Dec-2005,2822.9,2826.45,2847.3,2799.45,123.43,-0.12
2358,17-Jan-2005,1932.9,1931.75,1944.55,1902.45,82.25,0.09
2359,20-Jul-2005,2241.9,2236.9,2252.0,2236.9,56.89,0.21
2360,04-Jul-2005,2230.65,2212.05,2232.2,2211.4,49.16,0.85
2361,25-Jul-2005,2291.75,2266.65,2293.95,2266.65,81.36,1.15
2362,10-Nov-2005,2500.7,2489.1,2504.75,2480.85,64.92,0.47
2363,06-Apr-2005,2069.3,2054.0,2073.1,2051.3,53.94,0.82
2364,26-Nov-2005,2683.45,2664.85,2686.5,2664.7,25.54,0.72
2365,22-Sep-2005,2476.5,2567.85,2580.4,2465.85,103.32,-3.54
2366,20-Dec-2005,2826.2,2843.15,2853.1,2815.2,74.98,-0.58
2367,26-Jul-2005,2303.15,2289.25,2307.1,2279.8,98.68,0.5
2368,27-Jul-2005,2319.1,2304.25,2324.0,2292.85,70.68,0.69
2369,30-Aug-2005,2367.75,2337.8,2373.8,2337.75,46.97,1.29
2370,08-Jul-2005,2196.2,2183.55,2210.7,2179.05,48.32,0.77
2371,14-Sep-2005,2492.45,2500.4,2514.75,2476.0,82.09,-0.32
2372,11-Feb-2005,2082.05,2063.35,2084.5,2063.35,84.99,0.91
2373,01-Nov-2005,2386.75,2366.8,2410.15,2366.8,18.75,0.67
2374,23-Sep-2005,2477.75,2480.5,2507.9,2453.05,84.22,0.05
2375,02-Nov-2005,2419.05,2386.45,2423.8,2367.75,82.54,1.35
2376,07-Jul-2005,2179.4,2228.3,2235.8,2171.25,60.52,-2.19
2377,11-Nov-2005,2548.65,2500.85,2551.4,2500.85,72.46,1.92
2378,27-Apr-2005,1935.4,1959.45,1962.2,1930.35,62.04,-1.11
2379,14-Feb-2005,2098.25,2083.05,2110.15,2083.05,86.44,0.78
2380,15-Feb-2005,2089.95,2098.25,2101.6,2081.2,60.94,-0.4
2381,20-Sep-2005,2578.0,2567.2,2582.8,2546.6,77.24,0.42
2382,07-Dec-2005,2693.0,2662.3,2697.1,2662.3,66.55,1.15
2383,01-Jun-2005,2087.55,2087.8,2097.6,2081.2,58.9,0.0
2384,31-Jan-2005,2057.6,2008.45,2060.4,2006.35,137.98,2.45
2385,07-Apr-2005,2052.85,2069.15,2084.9,2048.05,48.15,-0.79
2386,14-Jul-2005,2185.1,2204.4,2212.55,2178.6,65.04,-0.86
2387,31-Aug-2005,2384.65,2369.05,2387.0,2355.0,50.12,0.71
2388,18-Jan-2005,1934.05,1933.05,1956.95,1925.35,91.87,0.06
2389,02-Jun-2005,2064.65,2087.85,2093.45,2062.55,50.47,-1.1
2390,26-May-2005,2074.7,2043.5,2078.65,2025.65,88.19,1.51
2391,04-Apr-2005,2063.4,2067.65,2076.6,2054.9,64.43,-0.21
2392,10-Feb-2005,2063.35,2070.1,2075.1,2049.85,69.89,-0.32
2393,17-Nov-2005,2603.95,2558.45,2608.85,2558.45,66.44,0.82
2394,23-Nov-2005,2608.6,2572.85,2613.4,2563.1,70.84,1.39
2395,08-Nov-2005,2492.65,2463.65,2502.9,2460.0,79.72,1.26
2396,26-Sep-2005,2557.35,2477.85,2560.85,2477.85,61.92,3.21
2397,13-Jul-2005,2204.05,2221.45,2234.15,2200.05,74.23,-0.75
2398,16-Nov-2005,2582.75,2559.45,2585.95,2559.45,59.71,0.94
2399,25-Nov-2005,2664.3,2635.35,2668.9,2633.75,74.96,1.11
2400,28-Dec-2005,2794.05,2806.8,2824.3,2780.0,73.93,-0.42
2401,12-Jan-2005,1913.6,1953.6,1966.65,1900.85,85.04,-1.97
2402,14-Nov-2005,2558.7,2548.55,2576.95,2534.4,70.31,0.39
2403,15-Sep-2005,2523.95,2492.85,2527.5,2492.75,62.95,1.26
